datetime,wind_dir,wind_speed,wind_dir_deg
2025-01-15 06:00:00,ENE,7.2,67.5
2025-01-15 09:00:00,N,7.2,0.0
2025-01-15 12:00:00,NNE,3.6,22.5
2025-01-15 15:00:00,NNE,3.6,22.5
2025-01-15 18:00:00,CAL,0.0,
2025-01-15 21:00:00,CAL,0.0,
2025-01-16 00:00:00,NNE,3.6,22.5
2025-01-16 00:00:00,NNE,3.6,22.5
2025-01-16 03:00:00,SE,7.2,135.0
2025-01-16 06:00:00,ENE,10.8,67.5
2025-01-16 09:00:00,ENE,10.8,67.5
2025-01-16 12:00:00,ENE,3.6,67.5
2025-01-16 15:00:00,CAL,0.0,
2025-01-16 18:00:00,NW,3.6,315.0
2025-01-16 21:00:00,CAL,0.0,
2025-01-17 00:00:00,CAL,0.0,
2025-01-17 00:00:00,CAL,0.0,
2025-01-17 03:00:00,NE,7.2,45.0
2025-01-17 06:00:00,E,7.2,90.0
2025-01-17 09:00:00,NE,7.2,45.0
2025-01-17 12:00:00,NNE,3.6,22.5
2025-01-17 15:00:00,N,3.6,0.0
2025-01-17 18:00:00,NW,3.6,315.0
2025-01-17 21:00:00,NE,3.6,45.0
2025-01-18 00:00:00,E,3.6,90.0
2025-01-18 00:00:00,E,3.6,90.0
2025-01-18 03:00:00,SE,10.8,135.0
2025-01-18 06:00:00,NE,3.6,45.0
2025-01-18 09:00:00,NNE,3.6,22.5
2025-01-18 12:00:00,E,3.6,90.0
2025-01-18 15:00:00,E,3.6,90.0
2025-01-18 18:00:00,NE,3.6,45.0
2025-01-18 21:00:00,CAL,0.0,
2025-01-19 00:00:00,NNE,7.2,22.5
2025-01-19 00:00:00,NNE,7.2,22.5
2025-01-19 03:00:00,ENE,7.2,67.5
2025-01-19 06:00:00,ENE,3.6,67.5
2025-01-19 09:00:00,CAL,0.0,
2025-01-19 12:00:00,WNW,3.6,292.5
2025-01-19 15:00:00,NNE,10.8,22.5
2025-01-19 18:00:00,CAL,0.0,
2025-01-19 21:00:00,NNE,3.6,22.5
2025-01-20 00:00:00,NE,7.2,45.0
2025-01-20 00:00:00,NE,7.2,45.0
2025-01-20 03:00:00,S,3.6,180.0
2025-01-20 06:00:00,SW,7.2,225.0
2025-01-20 09:00:00,S,7.2,180.0
2025-01-20 12:00:00,S,3.6,180.0
2025-01-20 15:00:00,CAL,0.0,
2025-01-20 18:00:00,CAL,0.0,
2025-01-20 21:00:00,CAL,0.0,
2025-01-21 00:00:00,WNW,3.6,292.5
2025-01-21 00:00:00,WNW,3.6,292.5
